Stelle;Anzahl_Stellen;Kurzbeschreibung;Zahl;Benoetigt;to_be_dropped;leading_tailing
1;5;Gruppencode;False;True;False;0
6;8;Produktcode;True;True;False;1
14;3;Code;True;True;False;1
17;2;Geolevel;True;True;False;2
19;9;Geocode;False;True;False;3
28;1;Satztyp;True;True;True;0
29;2;Datentyp;True;True;False;0
31;3;Kennung;False;True;False;0
34;7;Blank;False;False;False;0
41;1;Vorzeichen fuer die Einheiten;False;True;True;0
42;14;Einheiten - fuer die Berichtsperiode (Einheiten von Teilmengen gerundet);True;True;False;4
56;1;Vorzeichen fuer den Umsatz;False;True;True;0
57;14;Umsatz (in Cent) - fuer die Berichtsperiode;True;True;False;4
71;1;Vorzeichen fuer die Zaehleinheiten;False;True;True;0
72;17;Type Zaehleinheiten - fuer die Berichtsperiode;False;True;False;4
89;18;Blank;False;False;False;0
107;18;Blank;False;False;False;0
125;16;Blank;False;False;False;0
