Position;Number_positions;Short_description;Numeric;Needed;to_be_dropped;to_be_merged_on;leading_tailing
1;5;ATC Code;False;True;False;True;3
6;11;0;True;False;False;False;0
17;11;0;True;False;False;False;0
28;1;Record Type;True;True;True;False;0
29;2;Data Type;True;True;True;False;0
31;30;ATC Name;False;True;False;False;3
61;12;Blank;False;False;False;False;0
73;5;Blank;False;False;False;False;0
78;7;Blank;False;False;False;False;0
85;3;Blank;False;False;False;False;0
88;18;Blank;False;False;False;False;0
106;7;Blank;False;False;False;False;0
113;28;Blank;False;False;False;False;0
